days_rel_to_CRS,cytokine,num_patients,carHLH_pos,carHLH_neg,carHLH_pos_mean,carHLH_neg_mean,carHLH_pos_log10_mean,carHLH_neg_log10_mean,carHLH_pos_log10_median,carHLH_neg_log10_median,carHLH_pos_log10_IQR,carHLH_neg_log10_IQR,wilcox_pvalue,log2fc,padj_FDR
-1,IL-13,32,15,17,0.418666667,0.382352941,-0.411994841,-0.463039067,-0.37675071,-0.552841969,0.319200317,0.187086643,0.507070299,0.130897087,0.751095469
0,IL-13,41,17,24,0.975058824,0.601333333,-0.249127576,-0.276554089,-0.346787486,-0.170803487,0.347487397,0.411728293,0.551150843,0.697324324,0.793709946
1,IL-13,35,15,20,0.743333333,0.4959,-0.249586333,-0.399083019,-0.346787486,-0.508638306,0.247176701,0.281674548,0.068858943,0.583960079,0.446922902
2,IL-13,42,18,24,3.001666667,0.753333333,-0.025522551,-0.228749864,-0.180456064,-0.15494628,0.767796411,0.567581844,0.567080263,1.994403503,0.708850328
3,IL-13,34,16,18,5.328125,0.682333333,0.229097527,-0.28489053,0.285096281,-0.338890353,1.023133829,0.405553614,0.027147415,2.965079327,0.050901403
4,IL-13,40,18,22,2.927,0.840909091,0.182610449,-0.151579016,0.207018468,-0.13372271,0.907363836,0.333774169,0.044172346,1.799400999,0.063971276
5,IL-13,36,18,18,2.810555556,0.801777778,0.170392261,-0.362697797,0.212244808,-0.530740137,0.810728714,0.233809744,0.002251396,1.809580995,0.00562849
6,IL-13,40,20,20,1.5903,0.5223,-0.003542373,-0.328710125,0.047113243,-0.338890353,0.77293962,0.398064569,0.018549523,1.606348338,0.027824284
7,IL-13,34,17,17,1.190588235,0.829411765,-0.107681121,-0.310893677,-0.236572006,-0.397940009,0.52393671,0.365755325,0.109049195,0.521514127,0.148703448
8,IL-13,34,17,17,1.362941176,0.443529412,-0.070005736,-0.403246565,-0.075720714,-0.443697499,0.771520671,0.258832316,0.019961397,1.619621616,0.039667094
9,IL-13,28,16,12,0.90875,0.588333333,-0.240918628,-0.365135454,-0.387216143,-0.453289157,0.555462187,0.290468882,0.364404684,0.627249681,0.546607026
10,IL-13,34,18,16,0.997222222,0.50125,-0.227803555,-0.359907447,-0.342645154,-0.387345359,0.420074433,0.440429383,0.397457312,0.992384701,0.662428853
-10,IL-15,9,1,8,20.9,23.8,1.320146286,1.335806706,1.320146286,1.260618091,0,0.207388913,0.888888889,-0.187458631,0.957264957
-9,IL-15,13,4,9,21.745,22.28444444,1.320876709,1.266125242,1.304643066,1.257198426,0.189470556,0.244989772,1,-0.035353286,1
-8,IL-15,22,9,13,24.36444444,22.17230769,1.323566252,1.319275034,1.218010043,1.310268367,0.167606961,0.172907145,0.646970367,0.136018393,0.925782801
-7,IL-15,29,14,15,21.74792857,19.00266667,1.282486002,1.188225231,1.23924068,1.224014811,0.228314819,0.353423363,0.376588383,0.194676107,0.706103218
-6,IL-15,26,10,16,21.779,15.5675,1.29110148,1.157748156,1.260047524,1.13556076,0.230820655,0.153151441,0.086857496,0.484400434,0.698051948
-5,IL-15,25,8,17,22.675,20.39964706,1.291773239,1.248053008,1.249068401,1.276691529,0.247525113,0.282158331,0.977263713,0.152558359,0.977263713
-4,IL-15,31,12,19,23.00908333,16.95736842,1.282629854,1.194799212,1.307260948,1.163161375,0.290674621,0.164950485,0.247703999,0.44029121,0.952255301
-3,IL-15,26,11,15,18.48909091,18.18866667,1.203254164,1.212917063,1.159567193,1.220892249,0.363480034,0.15803878,0.443029137,0.023634501,0.79037754
-2,IL-15,40,16,24,19.0675625,15.49158333,1.210478038,1.123337603,1.249708401,1.171074099,0.35736168,0.260396033,0.304335681,0.299635825,0.753628353
-1,IL-15,32,15,17,20.67133333,16.51458824,1.236431702,1.149831226,1.311541958,1.15715444,0.349195973,0.201723397,0.478383339,0.323890449,0.751095469
0,IL-15,41,17,24,25.73670588,16.84541667,1.341677134,1.167002487,1.373831145,1.154744499,0.355691913,0.302781662,0.024153444,0.611471297,0.362301663
1,IL-15,34,15,19,26.05933333,19.30536842,1.34558045,1.185265696,1.423900919,1.188928484,0.353584129,0.388832707,0.08938458,0.43279809,0.446922902
2,IL-15,42,18,24,32.32494444,19.612125,1.432450944,1.225333874,1.515939997,1.239245659,0.350001889,0.364254395,0.015151843,0.720902029,0.081570071
3,IL-15,34,16,18,28.938125,17.95727778,1.349693835,1.092868742,1.433981039,0.981231999,0.48016652,0.48248134,0.035620924,0.688402786,0.059368206
4,IL-15,40,18,22,30.042,13.89186364,1.346163237,1.069051027,1.455195861,1.08294638,0.584332261,0.369582125,0.007651398,1.112740707,0.019128495
